Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2021gfo.fits,189.49716,58.502457,1946.7467,1051.5016,1732.9607,777.96826,5.4800305, Good triplet
SN2021wel.fits,200.63171,237.12888,3391.6135,1131.5168,3179.243,940.7916,6.785203, Good triplet
SN 2021cdw.fits,190.38893,77.91495,1873.454,694.6331,1683.065,653.479,6.610234, Good triplet
SN 2018ccl.fits,191.41328,106.52872,2211.1848,1143.1345,1999.3715,932.0735,9.059558, Good triplet
SN 2019be.fits,201.6363,143.0633,2949.3076,1808.1394,2743.07,1727.8181,1.4197918, Moderate triplet
SN 2021afuq.fits,nan,nan,2044.844,1760.1378,nan,nan,0, Poor triplet
SN 2023aamc.fits,nan,nan,2267.197,935.6448,nan,nan,0, Poor triplet
SN 2019tpk.fits,nan,nan,1936.829,835.2633,nan,nan,0, Poor triplet
SN 2020afp.fits,189.02138,103.12603,2029.8739,787.30884,1831.8887,652.7169,8.221311, Good triplet
SN 2018is.fits,197.67186,143.90616,3251.775,2895.7207,1903.8851,998.1272,0, Moderate triplet
SN 2020zpi.fits,188.19867,45.57715,2240.5615,746.12335,2052.3623,721.21436,9.300444, Good triplet
SN 2016brv.fits,192.1641,146.36748,1915.0443,1116.9492,1708.9539,948.87976,7.576146, Good triplet
PSc530037.fits,188.64966,95.78258,2033.8934,743.29694,1845.2441,699.06683,7.4651756, Good triplet
SN 2023pso.fits,209.47556,209.81679,2660.198,2376.45,2361.3743,2041.9882,3.3944743, Moderate triplet
SN 2018hib.fits,nan,nan,2458.6558,985.1491,nan,nan,0, Poor triplet
SN 2023wrk.fits,195.64905,59.20495,2141.743,1426.7179,1940.3436,1345.1254,8.112652, Good triplet
SN 2025afe.fits,188.36601,65.292404,2104.4502,594.61053,1901.8821,491.47763,9.9535, Good triplet
SN 2021gmj.fits,202.36801,211.34894,2682.0288,1500.5438,2475.9783,1389.3378,7.989405, Good triplet
SN 2022ryv.fits,204.99112,257.54837,2261.8428,1669.1906,2036.901,1443.0048,1.2766429, Moderate triplet
SN 2022cru.fits,195.43623,165.4379,2174.9702,1849.3877,1974.819,1770.3027,4.612078, Moderate triplet
SN 2018cbb.fits,191.34515,103.847496,2096.1758,859.2823,1905.6641,809.7896,3.5365446, Moderate triplet
SN 2021smj.fits,195.43114,187.74605,2360.639,854.6227,2219.1726,867.902,0, Moderate triplet
